organism_name
Abeoforma whisleri
Cryptosporidium serpentis
Cryptosporidium sp. 43IA8
Cryptosporidium sp. SCAU42500
Cryptosporidium sp. chipmunk LX-2015
Cryptosporidium sp. chipmunk genotype I
Cryptosporidium tyzzeri
Cryptosporidium ubiquitum
Cryptosporidium viatorum
Cryptosporidium xiaoi
Cumathamnion decipiens
Cyanidiococcus yangmingshanensis
Cyanidioschyzon merolae
Cyanidioschyzon merolae strain 10D
Cyanidium caldarium
Cyanophora paradoxa
Cyclospora cayetanensis
Cyclostephanos invisitatus
Cyclostephanos tholiformis
Cyclotella atomus
Cyclotella baltica
Cyclotella cf. meneghiniana
Cyclotella choctawhatcheeana
Cyclotella cryptica
Cyclotella distinguenda
Cyclotella kingstonii
Cylindrotheca closterium
Cylindrotheca fusiformis
Cymathaere triplicata
Cystoisospora suis
Cytauxzoon felis
Dasytricha ruminantium
Delisea pulchra
Detonula confervacea
Devaleraea mollis
Diacronema lutheri
Dictyopteris delicatula
Dictyostelium brefeldianum
Dictyostelium capitatum
Dictyostelium cf. discoideum
Dictyostelium citrinum
Dictyostelium dimigraforme
Dictyostelium discoideum
Dictyostelium discoideum AX4
Dictyostelium firmibasis
Dictyostelium gargantuum
Dictyostelium intermedium
Dictyostelium purpureum
Dictyostelium rosarium
Dictyota dichotoma
Digenea simplex
Dinobryon divergens
Dinobryon sp. LO226KS
Diophrys appendiculata
Diophrys sp. 3 WChen-2021
Diplodinium dentatum
Diplodinium flabellum
Diplonema japonicum
Diplonema papillatum
Discosporangium mesarthrocarpum
Discostella pseudostelligera
Discostella stelligera
Discostella stelligeroides
Dudresnaya verticillata
Durusdinium trenchii
Ectocarpus fasciculatus
Ectocarpus siliculosus
Ectocarpus sp. 12 AP-2014
Ectocarpus sp. 13 AM-2016
Ectocarpus sp. 4 AP-2014
Ectocarpus sp. 6 AP-2014
Ectocarpus sp. 8 AP-2014
Ectocarpus sp. CCAP 1310/34
Ectocarpus sp. Ec32
Effrenium voratum
Egregia menziesii
Eimeria acervulina
Eimeria brunetti
Eimeria falciformis
Eimeria flavescens
Eimeria intestinalis
Eimeria magna
Eimeria maxima
Eimeria media
Eimeria mitis
Eimeria necatrix
Eimeria nieschulzi
Eimeria praecox
Eimeria sp. OTU-X
Eimeria sp. OTU-Y
Eimeria stiedae
Eimeria tenella
Eimeria zaria
Elongisporangium anandrum
Elongisporangium dimorphum
Elongisporangium prolatum
Elongisporangium senticosum
Elongisporangium undulatum
Emiliania huxleyi CCMP1516
Endocladia muricata
Endotrypanum monterogeii
Enoploplastron triloricatum
Entamoeba dispar
Entamoeba dispar SAW760
Entamoeba histolytica
Entamoeba histolytica DS4-868
Entamoeba histolytica HM-1:IMSS
Entamoeba histolytica HM-1:IMSS-A
Entamoeba histolytica HM-1:IMSS-B
Entamoeba histolytica HM-3:IMSS
Entamoeba histolytica KU27
Entamoeba histolytica KU48
Entamoeba histolytica KU50
Entamoeba histolytica MS96-3382
Entamoeba invadens IP1
Entamoeba marina
Entamoeba moshkovskii
Entamoeba nuttalli
Entamoeba nuttalli P19
Entodinium bursa
Entodinium caudatum
Entodinium longinucleatum
Epidinium cattanei
Epidinium caudatum
Epipyxis sp. PR26KG
Epithemia catenata
Epithemia clementina (nom. ined.)
Epithemia pelagica
Eremoplastron rostratum
Ericaria zosteroides
Eucheuma denticulatum
Euglena gracilis
Euglena gracilis var. bacillaris
Eukaryota sp.
Eukaryota sp. GEM-RC1
Eukaryota sp. TZLM1-RC
Eukaryota sp. TZLM3-RCL
Euplotes aediculatus
Euplotes amieti
Euplotes cf. woodruffi 2 WChen-2021
Euplotes focardii
Euplotes octocarinatus
Euplotes parawoodruffi
Euplotes sp.
Euplotes weissei
Euplotes woodruffi
Eutreptiella sp. 'Long Island Sound 2002'
Fabrea salina
Fistulifera pelliculosa
Fistulifera solaris
Flectonema sp. DT1601
Fonticula alba
Fonticula-like sp. SCN 57-25
Fragilaria crotonensis
Fragilaria radians
Fragilariophycidae sp.
Fragilariopsis cylindrus CCMP1102
Fragilariopsis kerguelensis
Fragilariopsis sp. CCMP1102
Fragilariopsis sp. K-0637
Fragilariopsis sp. RCC4289
Fragilariopsis sp. RCC4604
Fragilariopsis sp. RCC4608
Fragilariopsis sp. RCC4612
Fragilariopsis sp. RCC5208
Fragilariopsis sp. RCC5325
Fragilariopsis sp. RCC5501
Fragilariopsis sp. RCC5511
Freudenthalidium endolithicum
Freudenthalidium heronense
Fucus vesiculosus
Galdieria mesoamericana
Galdieria partita
Galdieria phlegrea
Galdieria sulphuraria
Galdieria yellowstonensis
Geminigera sp.
Gerakladium sp. JEP-2021
Giardia duodenalis
Giardia duodenalis ATCC 50581
Giardia duodenalis assemblage A
Giardia duodenalis assemblage B
Giardia lamblia P15
Giardia muris
Globisporangium abappressorium
Globisporangium acanthophoron
Globisporangium alternatum
Globisporangium apiculatum
Globisporangium barbulae
Globisporangium camurandrum
Globisporangium canariense
Globisporangium carolinianum
Globisporangium cederbergense
Globisporangium cryptoirregulare
Globisporangium cylindrosporum
Globisporangium cystogenes
Globisporangium debaryanum
Globisporangium echinulatum
Globisporangium emineosum
Globisporangium erinaceum
Globisporangium heterothallicum
Globisporangium huanghuaiense
Globisporangium irregulare
Globisporangium irregulare DAOM BR486
Globisporangium iwayamae
Globisporangium iwayamae DAOM BR242034
Globisporangium lucens
Globisporangium mamillatum
Globisporangium megalacanthum
Globisporangium middletonii
Globisporangium nagaii
Globisporangium nodosum
Globisporangium nunn
Globisporangium okanoganense
Globisporangium ornacarpum
Globisporangium orthogonon
Globisporangium paddicum
Globisporangium paroecandrum
Globisporangium parvum
Globisporangium perplexum
Globisporangium polare
Globisporangium radiosum
Globisporangium recalcitrans
Globisporangium rhizosaccharum
Globisporangium solare
Globisporangium spiculum
Globisporangium spinosum
Globisporangium splendens
Globisporangium sylvaticum
Globisporangium takayamanum
Globisporangium ultimum DAOM BR144
Globisporangium ultimum var. sporangiiferum
Globisporangium ultimum var. sporangiiferum BR650
Globisporangium uncinulatum
Globisporangium viniferum
Globisporangium yorkense
Globobulimina sp.
Goniomonas avonlea
Gracilaria caudata
Gracilaria domingensis
Gracilaria gracilis
Gracilaria parvispora
Gracilaria salicornia
Gracilaria vermiculophylla
Gracilariopsis chorda
Gracilariopsis lemaneiformis
Gregarina niphandrodes
Guillardia theta
Guillardia theta CCMP2712
Gulsonia nodulosa
Haemoproteus tartakovskyi
Halamphora sp. AAB
Halamphora sp. MG8b
Halluxium pauxillum
Halocafeteria seosinensis
Halophytophthora batemanensis
Halophytophthora polymorphica
Halteria grandinella
Hammondia hammondi
Haplosporidium nelsoni
Haplosporidium pinnae
Hapterophycus canaliculatus
Hedophyllum nigripes
Helminthora divaricata
Hemiselmis andersenii
Hepatocystis sp. ex Piliocolobus tephrosceles
Herpetomonas muscarum
Herpetomonas samuelpessoai
Herpetomonas tarakana
Herpochondria borealis
Heterococcus sp. DN1
Heterosigma akashiwo
Heterostelium album PN500
Heterostelium multicystogenum
Heterostelium pallidum
Heterotrichella gracilis
Hexamita inflata
Histomonas meleagridis
Hondaea fermentalgiana
Hyaloperonospora arabidopsidis
Hyaloperonospora arabidopsidis Emoy2
Hyaloperonospora brassicae
Hyaloperonospora parasitica
Hydrurus foetidus
Hyphochytrium catenoides
Ichthyophonus hoferi
Ichthyophthirius multifiliis
Ichthyosporea sp. XGB-2017a
Internoretia fryeana
Isochrysis galbana
Isotricha intestinalis
Isotricha prostoma
Isotricha sp. SAG1
Isotricha sp. YL-2021a
Isotricha sp. YL-2021b
Jaenimonas drosophilae
Kappaphycus alvarezii
Kappaphycus striatus
Kentomonas sorsogonicus
Kipferlia bialata
Labyrinthula sp. Ha
Lafontella sp. GMO-01
Lagenidium giganteum
Lagenidium sp. CBS 127285
Laminaria digitata
Laminaria ephemera
Laminaria setchellii
Laminaria sinclairii
Laurentiella sp. PUJRC_G5
Leidyana gryllorum
Leishmania adleri
Leishmania aethiopica
Leishmania aethiopica L147
Leishmania amazonensis
Leishmania arabica
Leishmania braziliensis
Leishmania braziliensis MHOM/BR/75/M2903
Leishmania braziliensis MHOM/BR/75/M2904
Leishmania cf. guyanensis/panamensis
Leishmania chagasi
Leishmania donovani
Leishmania donovani Ld 2001
Leishmania donovani Ld 39
Leishmania enriettii
Leishmania gerbilli
Leishmania guyanensis
Leishmania infantum
Leishmania infantum JPCM5
Leishmania lainsoni
Leishmania lindenbergi
Leishmania major
Leishmania major strain Friedlin
Leishmania major strain LV39c5
Leishmania major strain SD 75.1
Leishmania martiniquensis
Leishmania mexicana
Leishmania mexicana MHOM/GT/2001/U1103
Leishmania naiffi
Leishmania orientalis
Leishmania panamensis
Leishmania panamensis MHOM/COL/81/L13
Leishmania peruviana
Leishmania shawi
Leishmania sp. AIIMS/LM/SS/PKDL/LD-974
Leishmania sp. Ghana 2012 LV757
Leishmania sp. MAR LEM2494
Leishmania sp. Namibia
Leishmania tarentolae
Leishmania tropica
Leishmania tropica L590
Leishmania turanica
Leishmania utingensis
Lenisia limosa
Leptomonas pyrrhocoris
Leptomonas seymouri
Leptomonas seymouri BHU1095
Lessoniopsis littoralis
Licmophora abbreviata
Lingulaulax polyedra
Lithophyllum stictiforme
Lithothamnion corallioides
Lotharella oceanica
Lotmaria passim
Loxodes magnus
Macrocystis pyrifera
Malawimonas sp.
Mallomonas annulata
Mantamonas sphyraenae
Margolisiella sp. 23004-MA1
Maristentor dinoferus
Marteilia pararefringens
Mastigamoeba balamuthi
Mastocarpus papillatus
Mayamaea pseudoterrestris
Mediolabrus comicus
Meristiella gelidium
Metadinium minorum
Miamiensis avidus
Microchloropsis salina
Mikrocytos mackini
Ministeria vibrans ATCC 50519
Minutocellus sp. GHC0000111
Moneuplotes crassus
Monocercomonoides exilis
Monosiga brevicollis MX1
Naegleria clarki
Naegleria fowleri
Naegleria gruberi
Naegleria lovaniensis
Nannochloropsis gaditana
Nannochloropsis gaditana CCMP526
Nannochloropsis granulata CCMP529
Nannochloropsis limnetica
Nannochloropsis oceanica
Nannochloropsis oceanica CCMP531
Nannochloropsis oceanica OZ-1
Nannochloropsis oceanica strain IMET1
Nannochloropsis oculata CCMP525
Nannochloropsis salina CCMP1776
Nannochloropsis salina CCMP537
Nannochloropsis sp. QH25
Neoagarum fimbriatum
Neospora caninum
Neovahlkampfia damariscottae
Nephromyces sp. MM_2019
Nephromyces sp. ex Molgula occidentalis
Nereocystis luetkeana
Nitzschia inconspicua
Nitzschia palea
Nitzschia putrida
Nitzschia sp. DOCU1
Nitzschia sp. Nitz4
Nitzschia sp. pyKryTriq1
Nitzschia sp. sing1
Nothophytophthora amphigynosa
Nothophytophthora sp. Chile5
Novymonas esmeraldas
Obscuromonas eliasi
Obscuromonas oborniki
Obscuromonas volfi
Ochromonadaceae sp. CCMP2298
Ochromonas danica
Ochromonas sp.
Odonthalia washingtoniensis
Ophiocytium majus
Ophryocystis elektroscirrha
Ophryoscolex caudatus
Opuntiella californica
Osmundea hybrida
Ostracodinium dentatum
Ostracodinium gracile
Oxytricha trifallax
Padina boergesenii
Palmaria palmata
Paralagenidium karlingii
Paralia guyana
Paramarteilia canceri
Paramecium biaurelia
Paramecium bursaria
Paramecium calkinsi
Paramecium caudatum
Paramecium deuterobursaria
Paramecium nephridiatum
Paramecium octaurelia
Paramecium pentaurelia
Paramecium primaurelia
Paramecium sexaurelia
Paramecium sonneborni
Paramecium tetratobursaria
Paramecium tetraurelia
Paramoeba atlantica
Paramoeba pemaquidensis
Paraphysomonas bandaiensis
Paratrimastix pyriformis
Paratrypanosoma confusum
Paraurostyla sp. PUJRC_G6
Parietichytrium sp. I65-24A
Parmales sp. scaly parma
Parvularia atlantis
Paulinella micropora
Pavlovales sp. CCMP2436
Pedospumella encystans
Pelagococcus subviridis
Pelagomonas calceolata
Pelagomonas sp. RCC986
Pelagophyceae sp. CCMP2097
Pelomyxa schiedti
Pentatrichomonas hominis
Perkinsela sp. CCAP 1560/4
Perkinsela sp. CCAP 1560/9
Perkinsela sp. pyNocScin1
Perkinsus chesapeaki
Perkinsus marinus
Perkinsus marinus ATCC 50983
Perkinsus olseni
Perkinsus sp. BL_2016
Peronosclerospora sorghi
Peronospora belbahrii
Peronospora destructor
Peronospora effusa
Peronospora farinosa
Peronospora tabacina
Phaeocystis sp.
Phaeodactylum tricornutum
Phaeodactylum tricornutum CCAP 1055/1
Phaeosaccion multiseriatum
Phaeostrophion irregulare
Phaeothamnion confervicola
Phymatolithon calcareum
Phytomonas francai
Phytomonas serpens
Phytomonas serpens 9T
Phytomonas sp. EM1
Phytomonas sp. Hart1
Phytophthora abietivora
Phytophthora agathidicida
Phytophthora aleatoria
Phytophthora asiatica
Phytophthora attenuata
Phytophthora austrocedri
Phytophthora betacei
Phytophthora boehmeriae
Phytophthora brassicae
Phytophthora cactorum
Phytophthora cajani
Phytophthora capsici
Phytophthora capsici LT1534
Phytophthora castanetorum
Phytophthora chlamydospora
Phytophthora cinnamomi
Phytophthora cinnamomi var. cinnamomi
Phytophthora cinnamomi var. robiniae
Phytophthora citricola
Phytophthora citrophthora
Phytophthora colocasiae
Phytophthora constricta
Phytophthora crassamura
Phytophthora cryptogea
Phytophthora elongata
Phytophthora europaea
Phytophthora flexuosa
Phytophthora foliorum
Phytophthora formosa
Phytophthora fragariae
Phytophthora fragariaefolia
Phytophthora gibbosa
Phytophthora gonapodyides
Phytophthora gregata
Phytophthora hedraiandra
Phytophthora hibernalis
Phytophthora humicola
Phytophthora idaei
Phytophthora infestans
Phytophthora infestans T30-4
Phytophthora intricata
Phytophthora kernoviae
Phytophthora kernoviae 00238/432
Phytophthora kernoviae 00629/1
Phytophthora kernoviae 00844/4
Phytophthora lateralis
Phytophthora lateralis MPF4
Phytophthora lateralis MPF6
Phytophthora lateralis SMST21
Phytophthora lilii
Phytophthora litchii
Phytophthora litoralis
Phytophthora macrochlamydospora
Phytophthora meadii
Phytophthora medicaginis
Phytophthora megakarya
Phytophthora melonis
Phytophthora multivora
Phytophthora nagaii
Phytophthora nicotianae
Phytophthora nicotianae CJ01A1
Phytophthora nicotianae INRA-310
Phytophthora nicotianae P10297
Phytophthora nicotianae P1569
Phytophthora nicotianae P1976
Phytophthora niederhauseri
Phytophthora ohioensis (nom. inval.)
Phytophthora oleae
Phytophthora ornamentata
Phytophthora palmivora
Phytophthora parvispora
Phytophthora pini
Phytophthora pinifolia
Phytophthora pisi
Phytophthora pistaciae
Phytophthora plurivora
Phytophthora pluvialis
Phytophthora podocarpi
Phytophthora pseudolactucae
Phytophthora pseudosyringae
Phytophthora quercina
Phytophthora quininea
Phytophthora ramorum
Phytophthora rosacearum
Phytophthora rubi
Phytophthora sansomeana
Phytophthora sojae
Phytophthora sp. 'mugwort'
Phytophthora sp. ST_20190627
Phytophthora syringae
Phytophthora taxon juncus
Phytophthora tentaculata
Phytophthora tubulina
Phytophthora uliginosa
Phytophthora versiformis
Phytophthora vignae
Phytophthora vignae f. sp. adzukicola
Phytophthora vignae f. sp. vignae
Phytophthora x alni
Phytophthora x cambivora
Phytophthora x heterohybrida
Phytophthora x incrassata
Phytopythium aichiense
Phytopythium boreale
Phytopythium chamaehyphon
Phytopythium cucurbitacearum (nom. inval.)
Phytopythium delawarense
Phytopythium helicoides
Phytopythium kandeliae
Phytopythium litorale
Phytopythium mirpurense
Phytopythium montanum
Phytopythium oedochilum
Phytopythium ostracodes
Phytopythium sindhum
Phytopythium vexans
Phytopythium vexans DAOM BR484
Pigoraptor chileana
Pigoraptor vietnamica
Pilasporangium apinafurcum
Pinguiococcus pyrenoidosus
Pirum gemmata
Plagiogrammopsis vanheurckii
Plagiopyla frontata
Plagiopyla sp. F26
Plagiopyla sp. strain F1A
Plagiopyla sp. strain JUDRED
Planoprotostelium fungivorum
Plasmodiophora brassicae
Plasmodium adleri (nom. inval.)
Plasmodium berghei
Plasmodium berghei ANKA
Plasmodium billcollinsi
Plasmodium blacklocki (nom. inval.)
Plasmodium brasilianum
Plasmodium cf. malariae
Plasmodium chabaudi adami
Plasmodium chabaudi chabaudi
Plasmodium coatneyi
Plasmodium cynomolgi
Plasmodium cynomolgi strain B
Plasmodium falciparum
Plasmodium falciparum 303.1
Plasmodium falciparum 309.1
Plasmodium falciparum 318.1
Plasmodium falciparum 326.1
Plasmodium falciparum 327.1
Plasmodium falciparum 365.1
Plasmodium falciparum 366.1
Plasmodium falciparum 377.1
Plasmodium falciparum 383.1
Plasmodium falciparum 397.1
Plasmodium falciparum 398.1
Plasmodium falciparum 3D7
Plasmodium falciparum 58.1
Plasmodium falciparum 7G8
Plasmodium falciparum CAMP/Malaysia
Plasmodium falciparum D10
Plasmodium falciparum D6
Plasmodium falciparum Dd2
Plasmodium falciparum FCC-2/Hainan
Plasmodium falciparum FCH/4
Plasmodium falciparum HB3
Plasmodium falciparum IGH-CR14
Plasmodium falciparum K1
Plasmodium falciparum MaliPS096_E11
Plasmodium falciparum NF135/5.C10
Plasmodium falciparum NF54
Plasmodium falciparum Palo Alto/Uganda
Plasmodium falciparum RAJ116
Plasmodium falciparum RO-33
Plasmodium falciparum Santa Lucia
Plasmodium falciparum Senegal_V34.04
Plasmodium falciparum Tanzania (2000708)
Plasmodium falciparum UGT5.1
Plasmodium falciparum VS/1
Plasmodium falciparum Vietnam Oak-Knoll (FVO)
Plasmodium fragile
Plasmodium gaboni
Plasmodium gallinaceum
Plasmodium gonderi
Plasmodium inui San Antonio 1
Plasmodium knowlesi
Plasmodium knowlesi strain H
Plasmodium malariae
Plasmodium ovale
Plasmodium ovale curtisi
Plasmodium ovale wallikeri
Plasmodium praefalciparum (nom. ined.)
Plasmodium reichenowi
Plasmodium relictum
Plasmodium simium
Plasmodium vinckei
Plasmodium vinckei brucechwatti
Plasmodium vinckei lentum
Plasmodium vinckei petteri
Plasmodium vinckei vinckei
Plasmodium vivax
Plasmodium vivax Brazil I
Plasmodium vivax India VII
Plasmodium vivax Mauritania I
Plasmodium vivax North Korean
Plasmodium yoelii
Plasmodium yoelii 17X
Plasmodium yoelii killicki
Plasmodium yoelii nigeriensis
Plasmodium yoelii yoelii
Plasmopara halstedii
Plasmopara muralis
Plasmopara obducens
Plasmopara viticola
Pleurophycus gardneri
Polarella glacialis
Polymyxa betae
Polyplastron multivesiculatum
Polysphondylium violaceum
Porcisia deanei
Porcisia hertigi
Porolithon onkodes
Porosira glacialis
Porospora cf. gigantea A
Porospora cf. gigantea B
Porphyra dioica
Porphyra linearis
Porphyra umbilicalis
Porphyridium purpureum
Postelsia palmaeformis
Poterioochromonas sp. DS
Poteriospumella lacustris
Prorocentrum cordatum
Prorocentrum minimum
Proteromonas lacertae
Protostelium mycophagum
Prymnesium parvum
Prymnesium sp.
Psammodictyon sp. RCC7710
Psammoneis japonica
Pseudo-nitzschia delicatissima
Pseudo-nitzschia multiseries
Pseudo-nitzschia multistriata
Pseudo-nitzschia pungens
Pseudo-nitzschia sp.
Pseudo-nitzschia sp. YHN1
Pseudocohnilembus persalinus
Pseudokeronopsis carnea
Pseudokeronopsis flava
Pseudoperonospora cubensis
Pseudoperonospora humuli
Pterothamnion heteromorphum
Pterygophora californica
Pylaiella littoralis
Pyrocystis lunula
Pyropia haitanensis
Pyropia vietnamensis
Pyropia yezoensis
Pythium amasculinum
Pythium angustatum
Pythium aphanidermatum
Pythium aphanidermatum DAOM BR444
Pythium apleroticum
Pythium aquatile
Pythium aristosporum
Pythium arrhenomanes ATCC 12531
Pythium biforme
Pythium brachiatum
Pythium catenulatum
Pythium cedri
Pythium chondricola
Pythium coloratum
Pythium diclinum
Pythium dissimile
Pythium dissotocum
Pythium folliculosum
Pythium graminicola
Pythium grandisporangium
Pythium guiyangense
Pythium hydnosporum
Pythium inflatum
Pythium insidiosum
Pythium lycopersici
Pythium monospermum
Pythium myriotylum
Pythium oligandrum
Pythium ornamentatum
Pythium pectinolyticum
Pythium periplocum
Pythium phragmiticola
Pythium phragmitis
Pythium plurisporium
Pythium porphyrae
Pythium pyrilobum
Pythium rhizo-oryzae
Pythium rishiriense
Pythium scleroteichum
Pythium sp. B7052-1
Pythium sp. CBS 101876
Pythium sp. MPC-2022a
Pythium sukuiense
Pythium torulosum
Pythium utonaiense
Pythium vanterpoolii
Pythium volutum
Rebecca billardiae
Reclinomonas americana ATCC 50394
Reticulomyxa filosa
Rhabdomonas costata
Rhinomonas nottbeckii
Rhizaria sp. SCN 62-66
Rhodomonas lacustris
Rhodosorus marinus
Rhodymenia pacifica
Rhynchopus euleeides
Rhynchopus humris
Rhynchopus sp. YZ270_cl-10
Rostrostelium ellipticum
Saccharina japonica
Saccharina latissima
Saccharina sculpera
Saccharina sessilis
Salisapilia sapeloensis
Salpingoeca rosetta
Saprolegnia diclina VS20
Saprolegnia parasitica CBS 223.65
Sarcocystis neurona
Sarcodiotheca gaudichaudii
Sargassum fluitans
Sargassum natans
Sargassum obtusifolium
Sargassum platycarpum
Sargassum wightii
Schizochytrium sp. CCTCC M209059
Schizochytrium sp. TIO01
Schmidingerella arcuata
Schmidingerella meunieri
Sclerospora graminicola
Scytosiphon lomentaria
Scytosiphon promiscuus
Seminavis robusta
Sergeia podlipaevii
Shionodiscus oestrupii
Skeletonema costatum
Skeletonema dohrnii
Skeletonema grethae
Skeletonema marinoi
Skeletonema menzelii
Skeletonema potamos
Skeletonema sp.
Skeletonema tropicum
Speleostelium caveatum
Sphacelaria rigidula
Sphaeroforma arctica
Sphaeroforma arctica JP610
Sphaeroforma sirkka
Spironucleus salmonicida
Spongospora subterranea
Spongospora subterranea f. sp. subterranea
Spumella sp. AR4D6
Spumella vulgaris
Stentor coeruleus
Stentor roeselii
Stephanocyclus meneghinianus
Stephanodiscus minutulus
Stephanodiscus triporus
Sterkiella histriomuscorum
Storeatula major
Stramenopiles sp. TOSAG23-2
Stramenopiles sp. TOSAG23-3
Stramenopiles sp. TOSAG23-6
Stramenopiles sp. TOSAG41-1
Streblomastix strix
Strigomonas culicis
Strigomonas galati
Strigomonas oncopelti
Strombidium cf. sulcatum
Strombidium stylifer
Stylonychia lemnae
Stylonychia lemnae 2x8/2
Symbiodinium kawagutii
Symbiodinium microadriaticum
Symbiodinium natans
Symbiodinium necroappetens
Symbiodinium pilosum
Symbiodinium sp. 240-249
Symbiodinium sp. 259-268
Symbiodinium sp. CCMP2456
Symbiodinium sp. CCMP2592
Symbiodinium sp. D2
Symbiodinium sp. KB8
Symbiodinium sp. UOBC0000020
Symbiodinium sp. clade A Y106
Symbiodinium sp. clade C Y103
Symbiodinium tridacnidarum
